Date,Clicks,Impressions,CTR,Position
2026-05-15,1,200,0.5%,18.4
2026-05-16,1,201,0.5%,18.5
2026-05-17,0,249,0%,26.4
2026-05-18,7,373,1.88%,26.6
2026-05-19,1,294,0.34%,20.1
2026-05-20,2,320,0.62%,21.4
2026-05-21,2,256,0.78%,17.8
2026-05-22,5,242,2.07%,18.9
2026-05-23,0,205,0%,18.8
2026-05-24,0,231,0%,21.1
2026-05-25,2,244,0.82%,17.5
2026-05-26,8,246,3.25%,15.5
2026-05-27,9,327,2.75%,17.8
2026-05-28,3,252,1.19%,15.9
2026-05-29,1,269,0.37%,15.5
2026-05-30,3,284,1.06%,13.6
2026-05-31,0,314,0%,13.2
2026-06-01,4,318,1.26%,13.6
2026-06-02,7,272,2.57%,14.3
2026-06-03,7,269,2.6%,13.1
2026-06-04,3,265,1.13%,13.1
2026-06-05,7,253,2.77%,14.2
2026-06-06,0,237,0%,17.4
2026-06-07,0,211,0%,18.4
2026-06-08,1,221,0.45%,18.9
2026-06-09,5,248,2.02%,15.5
2026-06-10,4,309,1.29%,17.9
2026-06-11,4,315,1.27%,13.4
2026-06-12,1,259,0.39%,15.4
2026-06-13,5,307,1.63%,17.6
2026-06-14,1,230,0.43%,15.2
2026-06-15,5,277,1.81%,13.6
2026-06-16,5,276,1.81%,13.1
2026-06-17,10,383,2.61%,15.1
2026-06-18,2,531,0.38%,19.9
2026-06-19,4,493,0.81%,20.5
2026-06-20,1,349,0.29%,19.6
2026-06-21,1,376,0.27%,18.2
2026-06-22,7,396,1.77%,16.2
2026-06-23,2,333,0.6%,15.8
2026-06-24,4,408,0.98%,16.1
2026-06-25,3,354,0.85%,13.6
2026-06-26,2,388,0.52%,13.2
2026-06-27,3,295,1.02%,12.5
2026-06-28,3,323,0.93%,15.8
2026-06-29,6,417,1.44%,12.6
2026-06-30,10,425,2.35%,12.8
2026-07-01,4,367,1.09%,13
2026-07-02,2,399,0.5%,12.9
2026-07-03,3,383,0.78%,12.9
2026-07-04,4,310,1.29%,13.8
2026-07-05,10,339,2.95%,15.3
2026-07-06,4,387,1.03%,14
2026-07-07,6,455,1.32%,12.7
2026-07-08,6,411,1.46%,15.4
2026-07-09,7,336,2.08%,11.1
2026-07-10,3,362,0.83%,16
2026-07-11,1,319,0.31%,13.2
2026-07-12,4,390,1.03%,15.2
