Country,Clicks,Impressions,CTR,Position
United Kingdom,179,12106,1.48%,17.43
Spain,9,276,3.26%,8.23
United States,4,2939,0.14%,14.17
India,4,148,2.7%,29.71
France,3,257,1.17%,14.93
Ireland,2,58,3.45%,8.41
Pakistan,2,23,8.7%,13.26
Nigeria,2,17,11.76%,12.88
Germany,1,405,0.25%,10.1
Canada,1,241,0.41%,13.68
Brazil,1,115,0.87%,14.03
Philippines,1,82,1.22%,7.37
Bangladesh,1,41,2.44%,13.63
Morocco,1,35,2.86%,13.63
Colombia,1,35,2.86%,18.51
United Arab Emirates,1,30,3.33%,15.2
Sweden,1,27,3.7%,8.89
Romania,1,10,10%,8.9
Kenya,1,10,10%,17.3
Netherlands,0,340,0%,8.7
Italy,0,130,0%,10.08
Japan,0,68,0%,16.09
Vietnam,0,64,0%,15.8
Australia,0,60,0%,10.35
Indonesia,0,60,0%,13.88
South Korea,0,49,0%,12.8
Iran,0,49,0%,14.18
Turkey,0,45,0%,17.84
Taiwan,0,44,0%,18.8
Portugal,0,41,0%,6.66
Russia,0,40,0%,18.25
Mexico,0,39,0%,14.79
Dominican Republic,0,34,0%,17.53
China,0,31,0%,8.65
Greece,0,30,0%,8.87
Singapore,0,30,0%,13.37
Poland,0,27,0%,11.7
Switzerland,0,27,0%,13.41
Belgium,0,26,0%,9.92
Argentina,0,26,0%,14.31
Thailand,0,25,0%,8.4
Malaysia,0,23,0%,8.39
South Africa,0,22,0%,11.27
Iraq,0,22,0%,22
Austria,0,20,0%,10.1
Ukraine,0,20,0%,12.35
Hong Kong,0,19,0%,5.89
Czechia,0,19,0%,12.79
Denmark,0,15,0%,9.53
Egypt,0,15,0%,12.13
Bulgaria,0,15,0%,14.13
New Zealand,0,14,0%,7.14
Croatia,0,14,0%,7.21
Chile,0,14,0%,17.64
Hungary,0,13,0%,6.62
Ecuador,0,13,0%,16.69
Saudi Arabia,0,12,0%,10.75
Algeria,0,12,0%,18
Venezuela,0,12,0%,21.75
Finland,0,11,0%,11
Malta,0,10,0%,6.9
Norway,0,10,0%,8.4
Lithuania,0,8,0%,9.25
Uzbekistan,0,8,0%,12.62
Ethiopia,0,8,0%,21.5
Ghana,0,7,0%,5.57
Peru,0,7,0%,10.57
Israel,0,7,0%,12.43
Costa Rica,0,7,0%,12.71
Albania,0,6,0%,6.5
Cyprus,0,6,0%,6.67
Estonia,0,6,0%,9.5
Sri Lanka,0,6,0%,10.67
Tunisia,0,6,0%,18.67
Jordan,0,6,0%,28.33
Uganda,0,5,0%,7.2
Honduras,0,5,0%,9.2
Bolivia,0,5,0%,11.2
Jamaica,0,5,0%,17
Azerbaijan,0,5,0%,22.2
Myanmar (Burma),0,4,0%,7
Serbia,0,4,0%,7
Bahrain,0,4,0%,10.25
Cambodia,0,4,0%,13.75
Kuwait,0,4,0%,19.5
Luxembourg,0,3,0%,2.67
Latvia,0,3,0%,6.67
Slovakia,0,3,0%,7.67
Mozambique,0,3,0%,9.33
Dominica,0,3,0%,9.67
Slovenia,0,3,0%,10
Monaco,0,3,0%,10.67
Zimbabwe,0,3,0%,11.33
Angola,0,3,0%,14
Paraguay,0,3,0%,43.33
Barbados,0,2,0%,3
Cameroon,0,2,0%,3
Palestine,0,2,0%,5
Belarus,0,2,0%,6.5
Lebanon,0,2,0%,7
Trinidad & Tobago,0,2,0%,7
Iceland,0,2,0%,7.5
Bermuda,0,2,0%,8.5
Turks & Caicos Islands,0,2,0%,8.5
Jersey,0,2,0%,9
Guatemala,0,2,0%,9.5
Puerto Rico,0,2,0%,9.5
Uruguay,0,2,0%,9.5
Mauritius,0,2,0%,11
Cuba,0,2,0%,11.5
Moldova,0,2,0%,12
Oman,0,2,0%,13
Macedonia,0,2,0%,14.5
Qatar,0,2,0%,15
Mongolia,0,2,0%,17.5
Zambia,0,2,0%,20.5
Georgia,0,2,0%,21.5
Nicaragua,0,2,0%,29
Kazakhstan,0,1,0%,1
Liechtenstein,0,1,0%,1
Cayman Islands,0,1,0%,2
Afghanistan,0,1,0%,4
Armenia,0,1,0%,4
Montenegro,0,1,0%,5
Mauritania,0,1,0%,5
Burkina Faso,0,1,0%,6
Bahamas,0,1,0%,6
Côte d’Ivoire,0,1,0%,7
Syria,0,1,0%,8
Vanuatu,0,1,0%,8
Rwanda,0,1,0%,9
Bhutan,0,1,0%,10
Cook Islands,0,1,0%,10
Mali,0,1,0%,10
Malawi,0,1,0%,10
British Virgin Islands,0,1,0%,12
U.S. Virgin Islands,0,1,0%,12
Senegal,0,1,0%,13
Congo - Brazzaville,0,1,0%,14
North Korea,0,1,0%,15
Bosnia & Herzegovina,0,1,0%,19
Panama,0,1,0%,20
Guyana,0,1,0%,31
Libya,0,1,0%,40
El Salvador,0,1,0%,45
Laos,0,1,0%,59
Maldives,0,1,0%,91
